time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-4.430559999999993584e-07,9.509149272067347747e-06,9.509149087999995255e-06,9.359415200378582851e-06,9.880185835600021997e-04,3.320112676066997153e-04,9.976358003999973370e-04,3.320433035633497151e-04,9.905190031686045282e-01,9.895041767203922589e-01,5.348675694297939535e-05,1.010419746249942907e+00
1.000000000000000000e+02,9.031931999999988050e-06,6.387178763867594586e-05,6.387186665960009515e-05,7.664993641361684510e-05,9.388652736600001415e-04,3.286906396062703171e-04,9.974932564800005532e-04,3.318180553120787563e-04,9.397585022706104185e-01,9.375194861014304326e-01,1.324014871224238462e-03,9.608227506208952828e-01
2.000000000000000000e+02,3.383648400000005752e-05,1.253823233024431124e-04,1.253834631947996702e-04,1.688356737640913318e-04,8.842263808599990296e-04,3.191220928185121790e-04,9.918874881600003770e-04,3.295263264319625855e-04,8.890240089430614390e-01,8.852123547954017235e-01,3.570660079888721746e-03,9.094037897265133674e-01
3.000000000000000000e+02,6.430429600000011790e-05,1.906811979399638981e-04,1.906853253552000650e-04,2.892302194742619190e-04,8.455351552800020876e-04,3.127236600692455122e-04,1.003679080119998903e-03,3.342662848565232446e-04,8.413802605478150065e-01,8.354617871075948887e-01,6.348533751844452101e-03,8.597128528820425775e-01
4.000000000000000000e+02,1.103433680000000309e-04,2.677415534532002041e-04,2.677537184023996578e-04,4.487436527054233836e-04,7.821778060199994446e-04,2.939585200381750999e-04,9.934635375799993808e-04,3.301440195571273364e-04,7.920063726093137246e-01,7.785576326071668163e-01,1.008802571015803180e-02,8.034237761235294428e-01
5.000000000000000000e+02,1.639110200000001470e-04,3.606621320412078664e-04,3.606889844372000655e-04,6.619736473717634543e-04,7.324899127600001912e-04,2.777669026561865959e-04,9.935739821999999173e-04,3.306271153464953260e-04,7.382265019371729853e-01,7.287641421538616493e-01,1.288495122791983444e-02,7.518850239639691679e-01
6.000000000000000000e+02,2.476899119999997098e-04,4.866267554541640005e-04,4.866880862816003943e-04,9.834996803360753284e-04,6.737063421599998134e-04,2.558821223860685383e-04,9.926002757400008772e-04,3.291328381223868060e-04,6.801048342773036159e-01,6.721858602952325290e-01,1.595875482482088728e-02,6.927789261201694471e-01
7.000000000000000000e+02,3.350141079999999628e-04,6.382427382935506634e-04,6.383549472164001988e-04,1.407477737850649146e-03,6.228135251600012620e-04,2.374488396578502145e-04,1.000890168379996517e-03,3.332889720517047513e-04,6.198611563031953819e-01,6.149334857828228085e-01,1.947858450629804186e-02,6.341021224059335548e-01
8.000000000000000000e+02,4.226845439999990669e-04,7.933135074704019893e-04,7.934921379615982257e-04,1.890026629078695114e-03,5.710342798200000649e-04,2.169834238815537104e-04,9.991668891200019154e-04,3.324790584809744027e-04,5.693502327205751667e-01,5.660348260966658884e-01,2.087003087001090135e-02,5.836285928288452718e-01
9.000000000000000000e+02,5.445112280000005169e-04,9.879204005749989397e-04,9.882168535356010159e-04,2.511004777630386139e-03,5.156078141999995883e-04,1.948083573500709843e-04,9.960924871599983934e-04,3.310888589557303805e-04,5.186404545553560119e-01,5.124945596689030047e-01,2.129512670036358066e-02,5.288580815105713429e-01
