time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,1.420982800000002437e-06,9.907742114692458528e-05,9.907741920301985842e-05,1.007888634923234861e-04,8.982687809199976390e-04,3.273907550329167165e-04,9.976358003999973370e-04,3.320433035633497151e-04,9.005588096307884927e-01,8.935621906505184509e-01,2.459809694744356963e-03,9.186495142690704885e-01
1.000000000000000000e+02,3.283446959999987495e-05,1.581603687806207228e-04,1.581614405565999145e-04,1.930717556788700195e-04,8.521550882200023234e-04,3.172804931955505595e-04,9.974932564800005532e-04,3.318180553120787563e-04,8.551888863219401227e-01,8.464313460789567589e-01,5.097481651195770111e-03,8.719248369043822722e-01
2.000000000000000000e+02,7.350021679999994720e-05,2.260260933569415017e-04,2.260314865977674419e-04,3.288027629789799637e-04,7.981250185999990429e-04,3.014051911942627654e-04,9.918874881600003770e-04,3.295263264319625855e-04,8.075805906721132965e-01,7.956059098185985778e-01,8.698412213327847559e-03,8.210980350981019749e-01
3.000000000000000000e+02,1.366194827999998905e-04,3.269714007238759676e-04,3.269900525281004521e-04,5.513100246481457802e-04,7.540452914200008235e-04,2.880760534351873301e-04,1.003679080119998903e-03,3.342662848565232446e-04,7.476518237528797517e-01,7.430748797683223161e-01,1.144098499942090147e-02,7.661877375236906262e-01
4.000000000000000000e+02,2.022952159999996387e-04,4.240187140307074090e-04,4.240596204243754085e-04,7.725702328200426345e-04,6.929646252599985226e-04,2.657756695233292970e-04,9.934635375799993808e-04,3.301440195571273364e-04,6.962537894736271493e-01,6.896179600211976846e-01,1.540239398088442957e-02,7.119230413909490851e-01
5.000000000000000000e+02,2.836111856000003402e-04,5.532032728142935582e-04,5.532836859907600815e-04,1.128325391711139554e-03,6.414484201799980833e-04,2.458486756166685218e-04,9.935739821999999173e-04,3.306271153464953260e-04,6.430744933370431404e-01,6.368891029598866549e-01,1.793771071339697598e-02,6.580532458426375797e-01
6.000000000000000000e+02,3.729095987999994297e-04,6.971024999673379376e-04,6.972415336521151476e-04,1.531227066782814110e-03,5.826156116999993331e-04,2.219200753725868505e-04,9.926002757400008772e-04,3.291328381223868060e-04,5.841036103908253674e-01,5.809723155397323868e-01,2.000118949316308931e-02,5.990738075742321200e-01
7.000000000000000000e+02,4.965483004000006409e-04,8.788009197120133639e-04,8.790474447746066729e-04,2.077151889496804509e-03,5.318011168200013038e-04,2.022595691635041310e-04,1.000890168379996517e-03,3.332889720517047513e-04,5.350942303836782044e-01,5.256913498578187349e-01,2.136874651330238073e-02,5.409954324495861444e-01
8.000000000000000000e+02,6.109461423999993594e-04,1.080932685854690475e-03,1.081305897806296608e-03,2.743535884274474895e-03,4.830275255599998391e-04,1.823895776062794071e-04,9.991668891200019154e-04,3.324790584809744027e-04,4.823496882793087970e-01,4.792041190456716171e-01,2.282888397097469768e-02,4.932570352921581969e-01
9.000000000000000000e+02,7.433789332000007239e-04,1.307183903587464790e-03,1.307736463538434297e-03,3.485047636083440491e-03,4.302998776199994406e-04,1.608417652803559588e-04,9.960924871599983934e-04,3.310888589557303805e-04,4.275342985582216704e-01,4.303199539930631645e-01,2.200576240101784209e-02,4.416569621777707289e-01
1.000000000000000000e+03,8.914650696000008152e-04,1.563931947047609997e-03,1.564726594460649116e-03,4.353739388052833489e-03,3.826690716000005375e-04,1.419611421766091817e-04,9.938314695999992190e-04,3.294420430913716654e-04,3.847953234707119363e-01,3.847237430217920195e-01,2.186824893044526930e-02,3.937828168030074738e-01
1.100000000000000000e+03,8.888263308000001351e-04,1.637981494742665614e-03,1.638771441469729284e-03,4.601455743357649696e-03,3.694327085200009120e-04,1.393240586621462089e-04,9.988471716199994344e-04,3.318633081340159737e-04,3.687264191682315673e-01,3.704938374196688478e-01,2.119762039348435656e-02,3.789576743305660411e-01
1.200000000000000000e+03,8.961961947999975671e-04,1.739230091459410604e-03,1.740033189509781119e-03,4.948161100858283062e-03,3.480228404799997483e-04,1.330343015862308156e-04,9.962299217599987922e-04,3.314428667632179372e-04,3.464037400166620762e-01,3.487753489989505185e-01,2.236564032161015431e-02,3.574269488814569296e-01
1.300000000000000000e+03,8.918775211999983204e-04,1.805381776036783662e-03,1.806177149334334568e-03,5.136179325773694744e-03,3.328969446200000107e-04,1.285790318123827011e-04,9.973155299200005958e-04,3.321065521932553490e-04,3.367568437464663611e-01,3.312690672924022417e-01,2.143759899821671977e-02,3.384390654409651367e-01
1.400000000000000000e+03,8.910610651999993290e-04,1.894581954738572488e-03,1.895375868777209819e-03,5.438500690424953946e-03,3.170431241399998545e-04,1.233342806432267383e-04,1.001013987660003077e-03,3.327442723230089757e-04,3.137871402576575819e-01,3.174124523209462811e-01,2.074415049708496633e-02,3.230412203994044162e-01
1.500000000000000000e+03,8.774030264000000400e-04,1.937429562000752637e-03,1.938199320574306292e-03,5.603429858684994685e-03,3.018890468400002038e-04,1.178382760575525013e-04,9.927478282599994184e-04,3.292293713011843533e-04,3.076576959273054634e-01,3.044694287765185026e-01,2.043479339344780876e-02,3.105247476503437132e-01
1.600000000000000000e+03,9.052606616000003327e-04,2.069163489095498642e-03,2.069982903194399638e-03,6.059922270190919689e-03,2.920210021600000991e-04,1.148444739158797115e-04,1.006034530180001082e-03,3.355697719986794727e-04,2.906451631057373475e-01,2.905499740931216102e-01,2.016787328590409836e-02,2.970063459897038238e-01
1.700000000000000000e+03,8.874176319999982788e-04,2.128830381672177328e-03,2.129617806572546481e-03,6.261901046928880325e-03,2.736193173199994973e-04,1.081661534362282081e-04,9.997624040599991779e-04,3.329259222546135811e-04,2.747686884157724552e-01,2.752274836977831041e-01,1.971094437555872061e-02,2.799869667606775803e-01
1.800000000000000000e+03,8.791189691999975152e-04,2.235974477557445359e-03,2.236747238280473778e-03,6.645933103457428957e-03,2.591014159800003082e-04,1.024212829579084746e-04,9.939493591799998095e-04,3.300339653034968339e-04,2.640609203516999792e-01,2.609942131990313219e-01,1.910339142386839259e-02,2.646407053647823471e-01
1.900000000000000000e+03,8.871212312000014647e-04,2.314330801253504811e-03,2.315117692759118516e-03,6.924127118318597514e-03,2.470553251600003100e-04,9.766168857872345791e-05,1.001017740039998778e-03,3.328785304312093657e-04,2.473009176977687684e-01,2.489542548613754847e-01,1.888228288550195325e-02,2.516297622294713099e-01
2.000000000000000000e+03,8.733459596000004614e-04,2.391620601892133907e-03,2.392383239392459945e-03,7.229992126094755486e-03,2.349494038599999972e-04,9.315649426946326285e-05,9.906503224200019758e-04,3.285642388048801610e-04,2.388773968500568223e-01,2.393489343441627115e-01,1.754076437081207238e-02,2.414678533970693042e-01
