time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,3.436944000000008492e-07,8.913461772860642338e-06,8.913461534448013397e-06,8.769634953666024461e-06,9.881275856599997659e-04,3.319873934822553554e-04,9.976554427399998964e-04,3.320178680446505257e-04,9.910714249380540020e-01,9.895490398390720532e-01,5.317259458292303618e-05,1.010480985422908873e+00
1.000000000000000000e+02,-6.646744000000018612e-07,6.059280801374433830e-05,6.059280603182408160e-05,7.193319762429074241e-05,9.403902008600008734e-04,3.287223335022385626e-04,9.983242294399981200e-04,3.317532446028423820e-04,9.424545532848950247e-01,9.379020970465662410e-01,1.277925602308910714e-03,9.611563449468267795e-01
2.000000000000000000e+02,1.786701999999999610e-06,1.182523491528898063e-04,1.182523476150998778e-04,1.549931995390476367e-04,8.892650824399992490e-04,3.210817086614882942e-04,9.929891921600017806e-04,3.304307587618849663e-04,8.937845192367703806e-01,8.891376152348456907e-01,3.522781560975344738e-03,9.136745416908298445e-01
3.000000000000000000e+02,2.800922800000003662e-06,1.725248652365980978e-04,1.725248661807720360e-04,2.380330205652041512e-04,8.450284613200012432e-04,3.126201716771254222e-04,9.917897401199992236e-04,3.302882829278198777e-04,8.517697044056312672e-01,8.447234311179878663e-01,5.806605348280291165e-03,8.695332495075139834e-01
4.000000000000000000e+02,8.321613600000000289e-06,2.275165360369758828e-04,2.275165961855673668e-04,3.457958801246617140e-04,8.042661837999999465e-04,3.018919717913559771e-04,9.923831337999987519e-04,3.293687281706529201e-04,8.114079996970301467e-01,8.024780740931846124e-01,8.225542145589561857e-03,8.274521964642637117e-01
5.000000000000000000e+02,1.339185680000000725e-05,2.841856933825034903e-04,2.841858613569043178e-04,4.676111682515337372e-04,7.691456434399996820e-04,2.929802173308574970e-04,9.953062619800008993e-04,3.311426368078216253e-04,7.744692966327844097e-01,7.630264008352065641e-01,1.087444243717044200e-02,7.873242458180413905e-01
6.000000000000000000e+02,2.392147640000002917e-05,3.535539927294185209e-04,3.535545508242920044e-04,6.142643203172266269e-04,7.288473430399994247e-04,2.801937979504988950e-04,9.962037553599950145e-04,3.308034751355763475e-04,7.341524625965017981e-01,7.231919727864951630e-01,1.287407659238409656e-02,7.466869768333913582e-01
7.000000000000000000e+02,3.470992199999994377e-05,4.061904608673937937e-04,4.061916493984605984e-04,7.446236444685872501e-04,6.974296504799996780e-04,2.710706652032631239e-04,9.973930002200028996e-04,3.321863800695532432e-04,7.055918801463596512e-01,6.897715600410918579e-01,1.473101493673965520e-02,7.132876012220796813e-01
8.000000000000000000e+02,3.496511840000002442e-05,4.756738686747940138e-04,4.756750722073440556e-04,8.932730641898493831e-04,6.616269249800003742e-04,2.582701114007793404e-04,9.966957768600005069e-04,3.310790977686934428e-04,6.676012875811780933e-01,6.553065688917099063e-01,1.672234665380019011e-02,6.781503731692595238e-01
9.000000000000000000e+02,4.151293960000001685e-05,5.559122195491382956e-04,5.559139206368038811e-04,1.126906015201534043e-03,6.343581159599999712e-04,2.492374483223616286e-04,1.001524317320001385e-03,3.338748288429934340e-04,6.308545447719005050e-01,6.260229152818770348e-01,1.791391797017197543e-02,6.470316789819169356e-01
