time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,2.098508000000000966e-06,9.983036707787079688e-05,9.983036748839194195e-05,1.017271959728540439e-04,8.989574263800011091e-04,3.268799536425566043e-04,9.979216574800017867e-04,3.314957946419699116e-04,8.999082895773498070e-01,8.937927976917151573e-01,2.442662009747380378e-03,9.189246599195241005e-01
1.000000000000000000e+02,-5.022220000000018087e-07,1.521646351170024625e-04,1.521646292826440213e-04,1.824499375483072737e-04,8.617476764799989180e-04,3.205236432243734708e-04,1.006228348759999466e-03,3.346667886655035743e-04,8.601590969426700095e-01,8.481547341520796479e-01,5.163833811190909201e-03,8.738572329701558283e-01
2.000000000000000000e+02,3.351806799999996116e-06,2.093907362022244534e-04,2.093907390612038640e-04,2.754709271089464612e-04,8.163659649400007269e-04,3.091680175658486967e-04,1.002046130619999118e-03,3.339457042233783847e-04,8.173555405670754892e-01,8.057957945732130423e-01,8.058999855139470370e-03,8.319096392220476366e-01
3.000000000000000000e+02,-1.936208799999995274e-06,2.722371591487661490e-04,2.722371520081842949e-04,4.187215054232425290e-04,7.708143267999995876e-04,2.945306543577333501e-04,9.963396086599999538e-04,3.308085654757865111e-04,7.744873794063091843e-01,7.634274939361264112e-01,1.042212329670298872e-02,7.882077857678283506e-01
4.000000000000000000e+02,8.860351999999943522e-07,3.364221389870593955e-04,3.364221263152322120e-04,5.481424390513488232e-04,7.329081751599992407e-04,2.830177872581179531e-04,9.950174731200005923e-04,3.305121785562225244e-04,7.359417240441983310e-01,7.268145566421783110e-01,1.243163802664167678e-02,7.517795617426721311e-01
5.000000000000000000e+02,3.131139599999993273e-06,4.049316442188744566e-04,4.049316378256438936e-04,6.962191823894139930e-04,6.934531727799996340e-04,2.700588625995075515e-04,9.919677901199972728e-04,3.296829544397297026e-04,6.974513859541087157e-01,6.891420561686898427e-01,1.481499263714769650e-02,7.120592101751420655e-01
6.000000000000000000e+02,-1.074307599999994778e-06,4.607721392005603386e-04,4.607721219238116220e-04,8.504899422709478541e-04,6.668387110799987036e-04,2.606675544796216849e-04,9.963275732200011729e-04,3.309608098274258647e-04,6.681779252034306671e-01,6.612442896732330100e-01,1.652324361118238244e-02,6.844064702869981920e-01
7.000000000000000000e+02,1.150452239999998779e-05,5.297755964080128359e-04,5.297757075710245742e-04,1.022004198293345904e-03,6.378535031000004277e-04,2.509139053789240822e-04,1.002591068340000051e-03,3.337507835725576498e-04,6.393853771149744514e-01,6.268960341374442136e-01,1.774119381382815649e-02,6.483162082304975149e-01
8.000000000000000000e+02,-3.418935199999997240e-06,5.894973364440299953e-04,5.894973245532544133e-04,1.169987589554891605e-03,5.965301478400008304e-04,2.349962336869371084e-04,9.903119197999991994e-04,3.283707284808294537e-04,6.048998778314833569e-01,5.959945657307198497e-01,1.869939016729861223e-02,6.164235880271186074e-01
9.000000000000000000e+02,-1.403778799999997435e-06,6.817761124297967408e-04,6.817760871293471799e-04,1.416291978739167047e-03,5.720083874399999394e-04,2.264153629851000597e-04,9.972315578200003760e-04,3.308551530515484477e-04,5.725526664584333902e-01,5.656798901869695140e-01,2.041118666016293950e-02,5.857973428873963773e-01
1.000000000000000000e+03,-3.411673200000010234e-06,7.408126281076028025e-04,7.408126101146116993e-04,1.596002753947809143e-03,5.483857704800014976e-04,2.175453470803496005e-04,9.971789222200004923e-04,3.319155562644047737e-04,5.501820516707439657e-01,5.428050425868370388e-01,2.117289250980541188e-02,5.622473691671207030e-01
1.100000000000000000e+03,5.223812800000001398e-06,8.178121064359108756e-04,8.178121010116468645e-04,1.810032143756323732e-03,5.188954169799992605e-04,2.059680593787421886e-04,9.978255196799986140e-04,3.317922136035350036e-04,5.155539704395276646e-01,5.140974062057376281e-01,2.142345932474553141e-02,5.306078950521664339e-01
1.200000000000000000e+03,-2.893417599999999583e-06,8.903026327374882060e-04,8.903026054972483028e-04,2.016450016957782761e-03,4.930416909400007954e-04,1.964011223238370325e-04,9.946208713999991295e-04,3.310488796232566853e-04,4.956873458481677597e-01,4.898379935983899758e-01,2.198329875277391446e-02,5.067458138993049532e-01
1.300000000000000000e+03,1.519531600000009617e-06,9.564985875170733650e-04,9.564985515661062268e-04,2.224699875086462615e-03,4.706242798600004614e-04,1.875146699331922890e-04,9.960166351000007603e-04,3.311876558237650714e-04,4.709755911477951917e-01,4.676380957399065563e-01,2.147402559273601033e-02,4.828413200740698796e-01
1.400000000000000000e+03,7.466920000000010326e-06,1.051222239547808983e-03,1.051222253253813630e-03,2.517771543728364661e-03,4.469394456600003698e-04,1.779049894420706168e-04,9.981052517400005892e-04,3.317269770471171098e-04,4.460653371123646238e-01,4.427920525412871178e-01,2.291082842763221550e-02,4.564262409994323533e-01
1.500000000000000000e+03,6.722862000000015933e-06,1.133362565627391667e-03,1.133362565489762393e-03,2.771909037229733103e-03,4.214569118800001778e-04,1.677664928155571541e-04,9.944435243999980543e-04,3.310109229038185976e-04,4.195988630964196942e-01,4.196266064807182561e-01,2.260237341413778162e-02,4.310004575340672384e-01
1.600000000000000000e+03,-6.953216000000074536e-07,1.207827709305083277e-03,1.207827661475447192e-03,3.037641115614613148e-03,4.063770164999997467e-04,1.619669932415228428e-04,9.984689211200005552e-04,3.320802829652588144e-04,4.053388331311381654e-01,4.016535761608138744e-01,2.246505643430972768e-02,4.140871369329887641e-01
1.700000000000000000e+03,6.884207600000003941e-06,1.290549670721405492e-03,1.290549666491732890e-03,3.276105979823863180e-03,3.864212013600000365e-04,1.542231360211488431e-04,1.000911127840001334e-03,3.333715668105636577e-04,3.858515955249457452e-01,3.831235571306961796e-01,2.226758907208747917e-02,3.947678224708161543e-01
1.800000000000000000e+03,1.486326560000000276e-05,1.350207260175089992e-03,1.350207427083464050e-03,3.489235453770015306e-03,3.688710912599988518e-04,1.473825741919254715e-04,1.000329602479996553e-03,3.331123274141661915e-04,3.742114998630453049e-01,3.687812903117673735e-01,2.226313296216736806e-02,3.773854658932720985e-01
1.900000000000000000e+03,-9.459539999999889105e-07,1.457054214410471527e-03,1.457054157023132072e-03,3.834633336238880107e-03,3.433888288000002818e-04,1.368288578700813942e-04,9.935781138799989164e-04,3.300220787615069928e-04,3.446140877720167972e-01,3.433754818869836356e-01,2.175213376797410433e-02,3.518598323350830559e-01
2.000000000000000000e+03,1.502805600000003960e-05,1.547702942882820190e-03,1.547703106817169792e-03,4.124351984576762192e-03,3.311799860199992869e-04,1.321124956719119201e-04,1.002538342399999930e-03,3.338292952082583969e-04,3.330136552334982403e-01,3.276863864392596803e-01,2.138067461857478049e-02,3.362312795683956579e-01
