time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-9.870175999999986592e-07,9.935113015832930969e-05,9.935112715848784558e-05,9.725535375706657133e-05,9.014165237200017639e-04,3.284033507455139654e-04,1.001159393759999813e-03,3.330290762773687927e-04,9.012435055269616413e-01,4.423958417804000343e-01,1.043809448166665120e-02,4.597595511278856906e-01
1.000000000000000000e+02,1.446014799999997787e-06,1.553080132554857096e-04,1.553080091341240104e-04,1.872358011515778096e-04,8.505818649200013902e-04,3.162114832936074437e-04,9.933186467399983399e-04,3.300899518192197853e-04,8.557261362941404048e-01,4.195995829774548103e-01,1.086867153219741970e-02,4.360652409435921695e-01
2.000000000000000000e+02,-4.466378799999991838e-06,2.210915834524553503e-04,2.210915945573316190e-04,3.173812982833582345e-04,8.117224068399988288e-04,3.073912247099912405e-04,9.969302552999988448e-04,3.320634335158882894e-04,8.091959387564009454e-01,4.013150131765761963e-01,1.116289054162298601e-02,4.172158344229420779e-01
3.000000000000000000e+02,-4.106475999999999111e-07,2.692687047912648707e-04,2.692686941891481384e-04,4.133695174280181488e-04,7.768039852799990368e-04,2.969859555577362259e-04,1.001749027500000236e-03,3.327670357757698053e-04,7.768380903516398650e-01,3.835775452592528612e-01,1.151725622556504063e-02,3.982412072556984484e-01
4.000000000000000000e+02,-1.279067599999985766e-06,3.381270243249988533e-04,3.381270124359318113e-04,5.525761311677631097e-04,7.348669019799987552e-04,2.841457842104165728e-04,9.963218774399985791e-04,3.313366324839751875e-04,7.356007056630705643e-01,3.626499345590680767e-01,1.173340466860632071e-02,3.765230302623143732e-01
5.000000000000000000e+02,3.695794799999997065e-06,3.994558991517732226e-04,3.994558968324364969e-04,6.933715918281206083e-04,6.976627867000004344e-04,2.718933149094072466e-04,9.951043420000002786e-04,3.309761105863949374e-04,7.019193103723634364e-01,3.450171362514373730e-01,1.202625271991049870e-02,3.579554386989579062e-01
6.000000000000000000e+02,-7.078853599999991032e-06,4.608890615196110452e-04,4.608890931942169087e-04,8.513294419150689444e-04,6.646405517000015259e-04,2.601214003169338837e-04,9.936188927799972145e-04,3.302373420967198107e-04,6.695681021354564777e-01,3.278808166970422766e-01,1.135761917770799177e-02,3.395005816297419488e-01
7.000000000000000000e+02,2.506924799999998146e-06,5.304294206896405803e-04,5.304294057571358034e-04,1.015465010639828112e-03,6.301446634600006052e-04,2.478172203454696832e-04,9.942493409199970947e-04,3.301806010323513432e-04,6.327118087691646631e-01,3.128421440237455498e-01,1.170223195042233155e-02,3.240925485336396683e-01
8.000000000000000000e+02,2.161798800000000513e-06,6.005490275057267808e-04,6.005490081571398121e-04,1.192175194420359331e-03,6.025936908600011601e-04,2.374496728642250135e-04,9.991788277999974748e-04,3.317452337391988294e-04,6.039273278023532532e-01,2.970505950423878438e-01,1.186046190858059193e-02,3.072110214709872777e-01
9.000000000000000000e+02,3.139244799999997710e-06,6.733745551903494442e-04,6.733745381102252368e-04,1.395324445919012306e-03,5.744544810600004953e-04,2.275064604323306493e-04,9.982690238400000488e-04,3.325707558714195147e-04,5.711754423251007573e-01,2.848699841749239292e-01,1.116738684684060075e-02,2.937512121883905092e-01
1.000000000000000000e+03,1.631110400000008226e-06,7.462203002176818990e-04,7.462202730293910008e-04,1.602119474443777824e-03,5.474146935799996134e-04,2.172080659158169243e-04,1.004374327740000222e-03,3.341186982936052868e-04,5.472392068326756842e-01,2.711517006565384857e-01,1.119648149210692757e-02,2.793945688315156994e-01
1.100000000000000000e+03,1.954613199999999065e-06,8.197354319205626136e-04,8.197354029516581899e-04,1.805870965625346611e-03,5.178533493600003240e-04,2.053166302129964100e-04,9.973193864800018477e-04,3.316963659192648088e-04,5.197284687140242276e-01,2.570937578445440796e-01,1.103129397237469396e-02,2.640050162955355773e-01
1.200000000000000000e+03,9.637182000000017534e-06,8.943061117532757811e-04,8.943061688563082616e-04,2.041214564472651309e-03,4.949314471999993574e-04,1.966357388427624603e-04,1.000618569899999364e-03,3.326040666787232684e-04,4.935410103949678939e-01,2.466745164144005797e-01,1.057159305881048318e-02,2.530153228815054112e-01
1.300000000000000000e+03,-1.415009119999998529e-05,9.649743065487825138e-04,9.649744681748912778e-04,2.244717540163189591e-03,4.698292116799998130e-04,1.871991060325858770e-04,9.999437878800013571e-04,3.324145352573974386e-04,4.676385409680467453e-01,2.348345466932337533e-01,1.099028239742014419e-02,2.417673516756854435e-01
1.400000000000000000e+03,5.074193599999991661e-06,1.050734327926013383e-03,1.050734311644080984e-03,2.506293997519031935e-03,4.496163615800003290e-04,1.791320991465973232e-04,1.004289704260000367e-03,3.347912207474532760e-04,4.475240594133258476e-01,2.256106266841133856e-01,1.031599855693895486e-02,2.303428599915983421e-01
1.500000000000000000e+03,-3.415633199999995031e-06,1.113913052270897042e-03,1.113913019380925046e-03,2.705096090277117962e-03,4.258904334599984752e-04,1.694503079790537440e-04,9.948907172599990179e-04,3.305298953332976063e-04,4.270125021272210275e-01,2.150428410518023803e-01,1.028293526891194652e-02,2.195773058616444784e-01
1.600000000000000000e+03,-5.733695599999996583e-06,1.201971195359586176e-03,1.201971180156003642e-03,2.981591853830660704e-03,4.038200403000000377e-04,1.607344999156912234e-04,9.935236943600020670e-04,3.299522435265829609e-04,4.016073029407618011e-01,2.048902354029361050e-01,9.718967767784719713e-03,2.085459587673411386e-01
1.700000000000000000e+03,2.146472000000021790e-06,1.285715079195133516e-03,1.285715032373872455e-03,3.257808824751372723e-03,3.822707782999994110e-04,1.524933448096435842e-04,9.939187738399999934e-04,3.296813350554665158e-04,3.818676333465477191e-01,1.924790520030305041e-01,9.334502010562692811e-03,1.948787876518346396e-01
1.800000000000000000e+03,-8.517384000000024304e-07,1.339008158998915851e-03,1.339008106164047860e-03,3.444514079599501118e-03,3.686753452199994542e-04,1.470347399961839468e-04,9.998232349200011481e-04,3.324665828061734501e-04,3.744064409394279869e-01,1.847308130734131859e-01,9.185744505886122083e-03,1.872853838453147624e-01
1.900000000000000000e+03,1.308672000000092254e-07,1.452801998220338946e-03,1.452801940125385402e-03,3.811809859089235718e-03,3.480856419999998593e-04,1.387550416752493336e-04,9.987872950400003558e-04,3.319518063110321365e-04,3.464203055404677101e-01,1.758599717770162330e-01,8.932739087482580512e-03,1.776221078942981646e-01
2.000000000000000000e+03,6.271964000000074862e-07,1.517718235013118706e-03,1.517718174697764650e-03,4.039094039250192524e-03,3.344564630399998002e-04,1.336610453503234109e-04,9.946195027400010769e-04,3.304958469905378048e-04,3.324209221813176351e-01,1.716984386909609639e-01,8.783999690427913426e-03,1.730518237578546892e-01
