time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,1.781867999999998734e-06,9.482936183132119464e-05,9.482936121320029730e-05,9.519282810821964424e-05,9.013217488200016237e-04,3.283905607528079217e-04,1.001159393759999813e-03,3.330290762773687927e-04,9.045217338592127510e-01,4.414636946616196100e-01,1.048676008173594562e-02,4.588982554795627555e-01
1.000000000000000000e+02,-4.258759999999998888e-07,1.626464224624860695e-04,1.626464161379995350e-04,1.987259790583309276e-04,8.504302040400009335e-04,3.161877790503540126e-04,9.933186467399983399e-04,3.300899518192197853e-04,8.487786305782202279e-01,4.179328962350498666e-01,1.098669663851805506e-02,4.345845261864590969e-01
2.000000000000000000e+02,2.182659999999994108e-06,2.120767705634667470e-04,2.120767668444006220e-04,2.876996384601601588e-04,8.113410211999998005e-04,3.072972260675251553e-04,9.969302552999988448e-04,3.320634335158882894e-04,8.152078978287867761e-01,3.997209754028972495e-01,1.165216110782395231e-02,4.158368572663182494e-01
3.000000000000000000e+02,-3.816296000000005177e-06,2.772659622761236477e-04,2.772659657496003081e-04,4.218915406046561231e-04,7.766621295600008692e-04,2.969461029030741090e-04,1.001749027500000236e-03,3.327670357757698053e-04,7.718344761677592425e-01,3.824682635643869566e-01,1.133330938568390470e-02,3.968901281712708951e-01
4.000000000000000000e+02,-2.158576000000008198e-06,3.310656570247758014e-04,3.310656484415999104e-04,5.255208401784425753e-04,7.344384867999978993e-04,2.839822104946014103e-04,9.963218774399985791e-04,3.313366324839751875e-04,7.381753536533073312e-01,3.618938051717923154e-01,1.136371199382098240e-02,3.757074645546131242e-01
5.000000000000000000e+02,-2.655060000000015200e-06,3.959348372340497422e-04,3.959348284459998646e-04,6.910472752387392158e-04,6.975876802400002340e-04,2.718595818666601606e-04,9.951043420000002786e-04,3.309761105863949374e-04,7.035728923363607779e-01,3.471145615480148994e-01,1.199513782808811491e-02,3.598598497395663065e-01
6.000000000000000000e+02,3.948920000000001720e-07,4.561173758347542928e-04,4.561173577459990271e-04,8.099307740671234882e-04,6.644259581600017077e-04,2.600442677731297524e-04,9.936188927799972145e-04,3.302373420967198107e-04,6.688812016282200679e-01,3.267399577646267761e-01,1.151397552808812799e-02,3.379589012767350575e-01
7.000000000000000000e+02,6.147812000000000999e-06,5.325138065877607499e-04,5.325138230828008927e-04,1.025695717950976527e-03,6.300040403600006955e-04,2.477682713624154926e-04,9.942493409199970947e-04,3.301806010323513432e-04,6.321644952609983825e-01,3.114639708418206476e-01,1.126639731858181462e-02,3.221223826816289604e-01
8.000000000000000000e+02,4.532392000000004021e-06,6.151100848034272853e-04,6.151100807416011061e-04,1.237241929729335005e-03,6.025770673800014002e-04,2.374686644751830848e-04,9.991788277999974748e-04,3.317452337391988294e-04,5.990544490936191568e-01,2.987008063876079311e-01,1.189815824752943167e-02,3.089469444284096977e-01
9.000000000000000000e+02,9.458799999999424251e-08,6.647565810689169035e-04,6.647565544876005454e-04,1.358935030396257477e-03,5.742152054800007347e-04,2.273899090978972635e-04,9.982690238400000488e-04,3.325707558714195147e-04,5.762967833252967687e-01,2.850780747684957261e-01,1.131714813341300717e-02,2.941058532963533589e-01
1.000000000000000000e+03,2.161159999999993975e-06,7.601561140476305019e-04,7.601560883119985604e-04,1.629825140943933067e-03,5.472731808199994118e-04,2.171258767984260516e-04,1.004374327740000222e-03,3.341186982936052868e-04,5.463557336689531807e-01,2.682811679161970497e-01,1.162939526945860717e-02,2.763828150688058538e-01
