time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-6.571319999999991109e-07,1.062459394076127714e-05,1.062459394759998568e-05,1.142768640953569076e-05,9.880057387999991760e-04,3.319859891431491431e-04,9.976554427399998964e-04,3.320178680446505257e-04,9.893671431728898735e-01,9.896217226860886118e-01,5.116399838011390360e-05,1.010513626151586131e+00
1.000000000000000000e+02,2.436228000000008043e-06,6.130137326044821317e-05,6.130137674360014465e-05,6.926563754823076983e-05,9.402718600200021641e-04,3.287077025437582715e-04,9.983242294399981200e-04,3.317532446028423820e-04,9.419666393284377159e-01,9.378008490405925768e-01,1.279201279913235161e-03,9.609091281792834227e-01
2.000000000000000000e+02,5.300124000000000960e-06,1.194134185056223724e-04,1.194134418204000525e-04,1.580357958539431863e-04,8.891774225399989764e-04,3.210716170942262259e-04,9.929891921600017806e-04,3.304307587618849663e-04,8.939516127008968471e-01,8.889083351570079561e-01,3.503905838146299193e-03,9.137920793925087271e-01
3.000000000000000000e+02,6.370864000000002671e-06,1.779953880831071464e-04,1.779954215511997558e-04,2.607503308030563569e-04,8.449080573800013668e-04,3.125898534653917820e-04,9.917897401199992236e-04,3.302882829278198777e-04,8.462145435126131598e-01,8.441150916885166167e-01,5.929212866295365848e-03,8.691996904355605569e-01
4.000000000000000000e+02,3.907059999999997453e-06,2.267026220049866189e-04,2.267026282019996009e-04,3.564598584138698226e-04,8.042108893399997280e-04,3.018823208028732059e-04,9.923831337999987519e-04,3.293687281706529201e-04,8.115643999555430810e-01,8.020922767526693642e-01,8.238737050263962580e-03,8.272945566910440141e-01
5.000000000000000000e+02,1.755265599999996458e-05,2.901919619407458900e-04,2.901922584288000500e-04,4.823401766793173283e-04,7.690031789199993500e-04,2.929348078358421769e-04,9.953062619800008993e-04,3.311426368078216253e-04,7.744788833842921605e-01,7.644954677526257791e-01,1.081092322122956251e-02,7.884502473270341705e-01
6.000000000000000000e+02,2.078623200000004592e-05,3.559503435585723843e-04,3.559507613879994204e-04,6.262751141783827078e-04,7.287963559199995070e-04,2.801796510542071570e-04,9.962037553599950145e-04,3.308034751355763475e-04,7.315044785732368604e-01,7.237370441862994719e-01,1.254488388685565808e-02,7.462722116164018926e-01
7.000000000000000000e+02,3.006916799999999915e-05,4.184185563082785139e-04,4.184194437264005190e-04,7.667830932139148249e-04,6.974047666199998958e-04,2.710851131351114788e-04,9.973930002200028996e-04,3.321863800695532432e-04,6.999333489390793250e-01,6.895288667710447461e-01,1.449814034610374079e-02,7.126393212030741608e-01
8.000000000000000000e+02,3.469118400000003428e-05,4.852917578518226374e-04,4.852929419183996834e-04,9.319947950781962143e-04,6.615789019800002524e-04,2.582504944999696340e-04,9.966957768600005069e-04,3.310790977686934428e-04,6.602592858634876993e-01,6.537266724698560516e-01,1.642677887717885685e-02,6.762209530099615451e-01
9.000000000000000000e+02,3.949047199999994665e-05,5.441959481224588292e-04,5.441974858519997528e-04,1.085989693510673463e-03,6.342626301599999395e-04,2.491864271688854784e-04,1.001524317320001385e-03,3.338748288429934340e-04,6.334804228775533508e-01,6.250579114212209131e-01,1.752791667082300234e-02,6.464337878827662864e-01
1.000000000000000000e+03,6.076454800000002238e-05,6.275461682431542022e-04,6.275498354716011135e-04,1.314571650305682406e-03,5.977360026599994698e-04,2.353396757303122722e-04,9.996715664200002491e-04,3.320725907453553447e-04,5.968036693366651768e-01,5.867325859611555172e-01,1.975140305073893113e-02,6.079026217146283884e-01
1.100000000000000000e+03,5.396484800000012202e-05,6.927094618347579480e-04,6.927123463311991294e-04,1.488166938836994009e-03,5.724099342399995580e-04,2.264456722954678088e-04,1.000790361240000903e-03,3.327888501533631123e-04,5.708862049163981878e-01,5.641204168356500626e-01,2.070996283578783320e-02,5.842055067189636519e-01
1.200000000000000000e+03,5.265021600000001687e-05,7.634891918223213813e-04,7.634919333279985851e-04,1.700815614655887872e-03,5.410187186399997112e-04,2.145433122257252095e-04,9.916689794599983700e-04,3.302256093488150214e-04,5.460008857851895714e-01,5.399158249447451041e-01,2.072415347292560356e-02,5.578543657593494354e-01
1.300000000000000000e+03,4.554009599999977331e-05,8.585797553916458755e-04,8.585817949487993582e-04,1.982538748543167823e-03,5.155412719599998788e-04,2.044368369743909501e-04,9.980082279800004275e-04,3.316358229492160346e-04,5.127426444516515192e-01,5.084045987134463429e-01,2.136922774527195978e-02,5.251617618670252341e-01
1.400000000000000000e+03,6.032053199999991234e-05,9.208745693904038781e-04,9.208781711220018510e-04,2.156881910616653079e-03,4.878229874199997750e-04,1.932696351684413982e-04,9.973954658399999170e-04,3.314707145277578666e-04,4.917109358112671247e-01,4.832516072560761322e-01,2.297702088538916901e-02,4.993603847069967294e-01
1.500000000000000000e+03,5.583799600000001907e-05,1.003645390842019397e-03,1.003648468578001267e-03,2.414681566137645563e-03,4.623645924800009262e-04,1.836738518077979908e-04,9.990323000400023502e-04,3.323602861829862403e-04,4.627937335258722196e-01,4.579060823927382229e-01,2.268081433188879129e-02,4.720789346855428503e-01
1.600000000000000000e+03,4.417809600000003267e-05,1.057334770316423547e-03,1.057336679727198872e-03,2.560012749839144734e-03,4.406746580000018730e-04,1.750079143455722378e-04,9.958645722200000668e-04,3.305268658816378066e-04,4.414889057344974499e-01,4.374838185657417000e-01,2.318217829919357736e-02,4.521398324459028339e-01
1.700000000000000000e+03,6.405179600000005891e-05,1.138446388419284356e-03,1.138450445513999876e-03,2.831004781491994193e-03,4.225563460600011145e-04,1.682968295703318241e-04,9.982074812200014344e-04,3.323273307994840963e-04,4.216521718072900327e-01,4.188481646029517114e-01,2.240461469925554908e-02,4.315649907374801697e-01
1.800000000000000000e+03,5.789750000000004664e-05,1.249650326428307498e-03,1.249653628562800859e-03,3.193492303103256501e-03,4.024768378200009578e-04,1.601401933576102456e-04,1.002407857960000001e-03,3.334182208621985235e-04,3.995278418887354133e-01,3.967979563173785196e-01,2.205202814942642045e-02,4.087746591836362020e-01
1.900000000000000000e+03,5.502341199999992400e-05,1.293566373358388377e-03,1.293569349191601688e-03,3.339974225521976422e-03,3.816225682199996709e-04,1.521953465049595609e-04,9.940909432600026491e-04,3.303827583090955251e-04,3.881607023738857798e-01,3.792696236500677220e-01,2.238775543375198795e-02,3.909422331204191470e-01
2.000000000000000000e+03,5.465375199999992931e-05,1.394767059484477122e-03,1.394769990726402523e-03,3.646797600189834263e-03,3.673128024199998672e-04,1.462808063756936645e-04,1.004649556379999184e-03,3.345486434963989035e-04,3.658686436558274413e-01,3.625210006691558795e-01,2.174473029474032967e-02,3.717843957646808084e-01
