time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-1.687479999999992820e-07,9.154579469307292907e-06,9.154579131600001915e-06,9.483807596671683330e-06,9.883194991000020854e-04,3.314640936211759800e-04,9.979216574800017867e-04,3.314957946419699116e-04,9.907374463197199388e-01,9.895429483842941298e-01,5.570102999505288329e-05,1.010470302617927585e+00
1.000000000000000000e+02,3.519579999999992398e-06,6.110555028517855440e-05,6.110556022839993087e-05,6.861632844135616546e-05,9.482727560599995501e-04,3.316189006968937999e-04,1.006228348759999466e-03,3.346667886655035743e-04,9.428033604486991681e-01,9.384048568206128094e-01,1.245862886005426069e-03,9.616699389088717576e-01
2.000000000000000000e+02,2.216155999999997574e-06,1.147209992898925188e-04,1.147209996123999611e-04,1.519454435965772595e-04,8.984518667800002944e-04,3.247358180017539389e-04,1.002046130619999118e-03,3.339457042233783847e-04,8.968518364886925998e-01,8.892986996931893096e-01,3.367658005865325956e-03,9.140598612953931834e-01
3.000000000000000000e+02,1.249559999999998756e-06,1.709112682670505727e-04,1.709112629920000483e-04,2.426144471310318442e-04,8.489609510599994751e-04,3.129804588996758837e-04,9.963396086599999538e-04,3.308085654757865111e-04,8.530300172020857108e-01,8.438588753349282046e-01,5.777866842944951245e-03,8.690905890153516333e-01
4.000000000000000000e+02,2.907255999999999732e-06,2.289880136929832541e-04,2.289880129856001817e-04,3.481987760578813445e-04,8.055789048800000764e-04,3.025561980431999438e-04,9.950174731200005923e-04,3.305121785562225244e-04,8.102198989756179692e-01,8.017008620044211442e-01,8.288050463846115962e-03,8.265827556075663329e-01
5.000000000000000000e+02,1.326587999999998326e-06,2.907851592223702078e-04,2.907851493507995788e-04,4.804878597122054333e-04,7.635250775999995925e-04,2.909169590376266615e-04,9.919677901199972728e-04,3.296829544397297026e-04,7.695539284469291585e-01,7.602248331155209149e-01,1.081980717575627658e-02,7.843705210547863294e-01
6.000000000000000000e+02,-3.190491999999999132e-06,3.536260118862009590e-04,3.536260079203996931e-04,6.248811990938958659e-04,7.324513868799996733e-04,2.817231411623455925e-04,9.963275732200011729e-04,3.309608098274258647e-04,7.331707140854066829e-01,7.259507887155163264e-01,1.249370321462705755e-02,7.495169932049037254e-01
7.000000000000000000e+02,5.110743999999997870e-06,4.225855096661153623e-04,4.225855188823992399e-04,7.772854879609733406e-04,7.011599926200002197e-04,2.721334413830451627e-04,1.002591068340000051e-03,3.337507835725576498e-04,6.959440189465687654e-01,6.902970765042278911e-01,1.473089148413779352e-02,7.137645027946655230e-01
8.000000000000000000e+02,2.921860000000000516e-06,4.797055340105559106e-04,4.797055233596004241e-04,9.197669515872221356e-04,6.566023277599994249e-04,2.559136109289854885e-04,9.903119197999991994e-04,3.283707284808294537e-04,6.631125527440805412e-01,6.553663449454528722e-01,1.577819375343325267e-02,6.772388517444574152e-01
9.000000000000000000e+02,-3.404344000000007737e-06,5.543072435171318918e-04,5.543072329344002607e-04,1.117172296720620557e-03,6.292718181399994731e-04,2.470879484900465419e-04,9.972315578200003760e-04,3.308551530515484477e-04,6.302701961846225442e-01,6.225987884038803877e-01,1.821849742855378637e-02,6.445286245605944542e-01
1.000000000000000000e+03,9.557439999999990269e-06,6.138946427271264319e-04,6.138947095160001257e-04,1.253866729401206283e-03,6.029413694799998311e-04,2.376404650078337607e-04,9.971789222200004923e-04,3.319155562644047737e-04,6.028850883088964219e-01,5.969759259065983148e-01,1.926703689324480578e-02,6.184497834197580923e-01
