time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,3.137559999999995439e-07,9.228651298103228315e-06,9.228651027400005971e-06,9.079343104984752161e-06,9.883772842800022350e-04,3.314649550028172338e-04,9.979216574800017867e-04,3.314957946419699116e-04,9.907656915969745848e-01,9.897865690205372990e-01,5.184677534877355247e-05,1.010681846629462477e+00
1.000000000000000000e+02,9.574991999999997890e-07,6.238266577286183552e-05,6.238266419435992572e-05,7.706413791663189712e-05,9.483046552199999668e-04,3.316229421181163262e-04,1.006228348759999466e-03,3.346667886655035743e-04,9.419773161690255803e-01,9.388802577706572006e-01,1.256279350788526384e-03,9.619937754194417545e-01
2.000000000000000000e+02,-1.534521199999998641e-06,1.138341728994876227e-04,1.138341707008760228e-04,1.481701065378863817e-04,8.984022359200005171e-04,3.247314743108877444e-04,1.002046130619999118e-03,3.339457042233783847e-04,8.967036606433611556e-01,8.896659650392950702e-01,3.444283756180232820e-03,9.145394737689738207e-01
3.000000000000000000e+02,4.337548800000008861e-06,1.684243564852524761e-04,1.684243685626078137e-04,2.372800692061217140e-04,8.490645461599999983e-04,3.130102751903722394e-04,9.963396086599999538e-04,3.308085654757865111e-04,8.541818377942279605e-01,8.446227794435264835e-01,5.922446493783934361e-03,8.697641768084722891e-01
4.000000000000000000e+02,1.149191999999995273e-06,2.301047835181888783e-04,2.301047756346397859e-04,3.555413575184552329e-04,8.056769317600006057e-04,3.025767316437544090e-04,9.950174731200005923e-04,3.305121785562225244e-04,8.113530059109990145e-01,8.008314100455068418e-01,8.412345690029816164e-03,8.263101312959494349e-01
5.000000000000000000e+02,2.351281199999997704e-06,2.894579429373256773e-04,2.894579368875312771e-04,4.734052728079231006e-04,7.634597261199998174e-04,2.908810056083077590e-04,9.919677901199972728e-04,3.296829544397297026e-04,7.716193886898227161e-01,7.609492436320911546e-01,1.067014397303297883e-02,7.852537373353006833e-01
6.000000000000000000e+02,8.372459999999967227e-07,3.500319171101003157e-04,3.500319038098045551e-04,6.078628168386060069e-04,7.324488280000000708e-04,2.817247340435545793e-04,9.963275732200011729e-04,3.309608098274258647e-04,7.350249014086633892e-01,7.269563642941783144e-01,1.233523695121736298e-02,7.508886410317244797e-01
7.000000000000000000e+02,5.121288000000011097e-06,4.141106498062837910e-04,4.141106594694486448e-04,7.635467718560069901e-04,7.012854775400000074e-04,2.721633453522822156e-04,1.002591068340000051e-03,3.337507835725576498e-04,7.011250246946102438e-01,6.898591161187676013e-01,1.476055534656322589e-02,7.136446305327753814e-01
8.000000000000000000e+02,4.642160399999997168e-06,4.770190059235509508e-04,4.770190083924439337e-04,9.256654331977458988e-04,6.567398244199996495e-04,2.559565634132733927e-04,9.903119197999991994e-04,3.283707284808294537e-04,6.641619823704130177e-01,6.549694635806843079e-01,1.590751295850992633e-02,6.768198667560108017e-01
9.000000000000000000e+02,3.390253199999994099e-06,5.412706098037706843e-04,5.412705996467630709e-04,1.047531278871856580e-03,6.295456740199993368e-04,2.471869921579270923e-04,9.972315578200003760e-04,3.308551530515484477e-04,6.325162146326192003e-01,6.207520493559742780e-01,1.828911426292768178e-02,6.428509227547485327e-01
