time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-3.880680000000005868e-07,1.145194563988109347e-05,1.145194533240004107e-05,1.128318029022476284e-05,9.910359787800029300e-04,3.329969940177836740e-04,1.001159393759999813e-03,3.330290762773687927e-04,9.886476522156212310e-01,9.892095418141206853e-01,5.017358922674254113e-05,1.010083063335814435e+00
1.000000000000000000e+02,-1.512267999999999867e-06,6.274022651665459418e-05,6.274022629400004421e-05,7.215571328487646531e-05,9.356753423400029869e-04,3.271586251374026459e-04,9.933186467399983399e-04,3.300899518192197853e-04,9.407131483496526947e-01,9.382978321803245869e-01,1.191915837133952641e-03,9.615450943669605621e-01
2.000000000000000000e+02,-4.554839999999985748e-07,1.161147893751259403e-04,1.161147849380000485e-04,1.461341079068829128e-04,8.937611814800016773e-04,3.228670045141904103e-04,9.969302552999988448e-04,3.320634335158882894e-04,8.955626394550028069e-01,8.901734854653977624e-01,3.234971262678655417e-03,9.148204637810448681e-01
3.000000000000000000e+02,4.594180000000003674e-06,1.773451968965184076e-04,1.773452109092004271e-04,2.524662755394042456e-04,8.542210944799983208e-04,3.150894480942489939e-04,1.001749027500000236e-03,3.327670357757698053e-04,8.483523478415888608e-01,8.448071582636300647e-01,5.786586757914623236e-03,8.702133778583980295e-01
4.000000000000000000e+02,4.387683999999986365e-06,2.360831649999560228e-04,2.360831748084003356e-04,3.696730475896195241e-04,8.075043554600005308e-04,3.036901732230147229e-04,9.963218774399985791e-04,3.313366324839751875e-04,8.055225435509394405e-01,8.014009067444625156e-01,8.614816089077773770e-03,8.269177147027449992e-01
5.000000000000000000e+02,-3.344959999999962740e-07,2.879534694110515050e-04,2.879534580048002902e-04,4.695252883626725954e-04,7.689212181199992684e-04,2.931955453607710291e-04,9.951043420000002786e-04,3.309761105863949374e-04,7.720716077265140642e-01,7.633760784309241432e-01,1.081510563779126445e-02,7.879276594747053331e-01
6.000000000000000000e+02,1.426535999999998686e-06,3.553892918797659710e-04,3.553892796991993028e-04,6.155948334204333757e-04,7.292723176800002460e-04,2.807920109731537324e-04,9.936188927799972145e-04,3.302373420967198107e-04,7.316176579841449090e-01,7.253006045165578675e-01,1.296927188148076261e-02,7.498079554104694067e-01
7.000000000000000000e+02,1.877280000000001786e-06,4.087802710518307465e-04,4.087802582248001304e-04,7.553212109761958106e-04,6.935019285600008219e-04,2.692116030979142143e-04,9.942493409199970947e-04,3.301806010323513432e-04,7.024899054514022190e-01,6.892918456327171706e-01,1.428429379427440145e-02,7.121821210341168218e-01
8.000000000000000000e+02,-1.978124000000004644e-06,4.717047515300157182e-04,4.717047365748002125e-04,8.801156482128632674e-04,6.635561027400002513e-04,2.587512517913832517e-04,9.991788277999974748e-04,3.317452337391988294e-04,6.684459683151765530e-01,6.562878383832260187e-01,1.639973367381676941e-02,6.780437069636406910e-01
9.000000000000000000e+02,6.840224000000010998e-06,5.365886570124810476e-04,5.365886823375992437e-04,1.067310107960371679e-03,6.334435725000001245e-04,2.488605214129007022e-04,9.982690238400000488e-04,3.325707558714195147e-04,6.385199649501552832e-01,6.255734919649182935e-01,1.776325410175719557e-02,6.465101148445060453e-01
1.000000000000000000e+03,-9.147208000000001343e-06,6.175055119176066842e-04,6.175055708888004978e-04,1.259430779831335109e-03,6.036150129399993867e-04,2.380097428858832795e-04,1.004374327740000222e-03,3.341186982936052868e-04,5.994438153147502168e-01,5.926196704826597328e-01,1.960323535204936199e-02,6.133661883240240087e-01
1.100000000000000000e+03,8.802076000000009473e-06,6.968877124001664029e-04,6.968877620011998614e-04,1.498032316115703328e-03,5.706383274400010511e-04,2.251584512794531389e-04,9.973193864800018477e-04,3.316963659192648088e-04,5.683100303523944685e-01,5.639290501165628022e-01,2.032219346515263050e-02,5.830095764836120686e-01
1.200000000000000000e+03,-1.161711999999991470e-06,7.591832473033541988e-04,7.591832182855990947e-04,1.644259188401095851e-03,5.446813456000005335e-04,2.155405686865440767e-04,1.000618569899999364e-03,3.326040666787232684e-04,5.441889378903727037e-01,5.374635017755917676e-01,2.073136940815376722e-02,5.556165083279196448e-01
1.300000000000000000e+03,-6.675340000000016627e-06,8.233185829673780052e-04,8.233185945947989279e-04,1.852379933277561921e-03,5.188140135399998878e-04,2.059831051074956199e-04,9.999437878800013571e-04,3.324145352573974386e-04,5.228084005811162172e-01,5.101687712058856627e-01,2.174356460386711251e-02,5.267784691862796853e-01
1.400000000000000000e+03,1.031319999999993753e-06,9.070181979923072233e-04,9.070181627752003234e-04,2.125372659417743438e-03,4.957253132000004683e-04,1.970115710591090186e-04,1.004289704260000367e-03,3.347912207474532760e-04,4.961101883938361934e-01,4.858378109835820857e-01,2.213896607930637347e-02,5.016132178515275708e-01
