time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-9.879131999999994948e-07,9.717464007156916700e-05,9.717463716055606163e-05,9.627975077722858519e-05,8.988142920799995677e-04,3.274246983140462241e-04,9.976554427399998964e-04,3.320178680446505257e-04,9.029605114406252797e-01,8.942262746792686290e-01,2.529931968929591529e-03,9.191972326460629006e-01
1.000000000000000000e+02,1.809011200000003953e-06,1.584620353871281796e-04,1.584620323211682858e-04,2.054355404450414083e-04,8.549993506799990952e-04,3.178376200280290951e-04,9.983242294399981200e-04,3.317532446028423820e-04,8.537571081621367908e-01,8.480849030451590442e-01,5.108626593874092056e-03,8.735980122946539472e-01
2.000000000000000000e+02,3.383271200000006775e-06,2.110787357750896597e-04,2.110787387784642541e-04,2.897887415551157319e-04,8.082649136799982493e-04,3.058251013639788087e-04,9.929891921600017806e-04,3.304307587618849663e-04,8.149310293852732867e-01,8.045869705751983458e-01,8.097715585476752270e-03,8.304706987210627167e-01
3.000000000000000000e+02,1.658449679999998521e-05,2.757867353666873349e-04,2.757869993807520142e-04,4.191000683144763045e-04,7.680368604999984489e-04,2.944563193520144655e-04,9.917897401199992236e-04,3.302882829278198777e-04,7.744859613745437299e-01,7.658036294175082359e-01,1.025043582435994013e-02,7.904281456071620138e-01
4.000000000000000000e+02,2.313544439999993789e-05,3.381411652503033775e-04,3.381416869734443580e-04,5.546812260810628442e-04,7.294418484200017316e-04,2.814379860007627495e-04,9.923831337999987519e-04,3.293687281706529201e-04,7.326883389289361448e-01,7.252801766143612827e-01,1.275318539515644424e-02,7.499739103766178694e-01
5.000000000000000000e+02,2.202938119999994657e-05,4.013144618389154726e-04,4.013149310799731038e-04,7.036342391961791050e-04,6.975078067400022636e-04,2.713465081830717957e-04,9.953062619800008993e-04,3.311426368078216253e-04,6.988570966069425072e-01,6.916898407837815954e-01,1.518890301176890022e-02,7.143621225801545238e-01
6.000000000000000000e+02,3.983750280000000440e-05,4.668868639191369819e-04,4.668884322702918197e-04,8.483205705302450730e-04,6.622074829399999998e-04,2.588701284622882447e-04,9.962037553599950145e-04,3.308034751355763475e-04,6.646033211037958299e-01,6.564620410343279255e-01,1.660017128196701261e-02,6.781330270762901957e-01
7.000000000000000000e+02,4.442677119999992221e-05,5.375637822839693901e-04,5.375657345194173424e-04,1.031778775928998476e-03,6.331746668799995929e-04,2.491724688678228551e-04,9.973930002200028996e-04,3.321863800695532432e-04,6.333539349045294031e-01,6.277883886220601006e-01,1.770012010399053815e-02,6.490031827752720250e-01
8.000000000000000000e+02,5.308922440000014766e-05,5.949826008113375062e-04,5.949853954777808637e-04,1.179937488453484734e-03,6.000241502799997075e-04,2.365792937860018729e-04,9.966957768600005069e-04,3.310790977686934428e-04,6.064480691317463146e-01,5.947865707371906563e-01,1.898890378585296052e-02,6.152760229829631333e-01
9.000000000000000000e+02,5.224942080000001603e-05,6.763253865349459510e-04,6.763280894839044646e-04,1.395827672676056876e-03,5.741011728799997422e-04,2.272348677003429055e-04,1.001524317320001385e-03,3.338748288429934340e-04,5.730608317990684153e-01,5.658780246952941351e-01,2.088456428623255284e-02,5.858887777757484372e-01
