time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-2.226240000000078703e-08,9.941609678684423020e-05,9.941609281069597570e-05,9.853647451702036931e-05,9.014009642000013174e-04,3.284018657086597358e-04,1.001159393759999813e-03,3.330290762773687927e-04,9.000060457176796147e-01,8.936509100477313394e-01,2.382436962590703689e-03,9.186988742753507964e-01
1.000000000000000000e+02,1.498555199999999628e-06,1.613868590424701770e-04,1.613868548326635201e-04,1.974652577639888855e-04,8.504560707400009648e-04,3.161764266447582490e-04,9.933186467399983399e-04,3.300899518192197853e-04,8.508896541088835086e-01,8.471481908763230928e-01,5.347716109314394964e-03,8.734112964840810012e-01
2.000000000000000000e+02,2.885140000000002924e-06,2.198749432807733451e-04,2.198749428098084439e-04,3.126413210547845955e-04,8.117071003999990235e-04,3.073745974772977953e-04,9.969302552999988448e-04,3.320634335158882894e-04,8.097149977156182787e-01,8.045471366955272430e-01,8.054068026281439863e-03,8.303819845759564666e-01
3.000000000000000000e+02,2.146212799999999727e-06,2.767248399936839869e-04,2.767248335309197981e-04,4.199331833846995082e-04,7.768379791199992194e-04,2.969966892926532293e-04,1.001749027500000236e-03,3.327670357757698053e-04,7.742945711297060107e-01,7.663378633856413602e-01,1.031241776925355749e-02,7.913345967094644884e-01
4.000000000000000000e+02,-8.920999999999976717e-07,3.322472913717535803e-04,3.322472788777043281e-04,5.308532667373175307e-04,7.346097534799982294e-04,2.840616717649819146e-04,9.963218774399985791e-04,3.313366324839751875e-04,7.387345598464910568e-01,7.290755333115097603e-01,1.279711285721061784e-02,7.537163022353251529e-01
5.000000000000000000e+02,1.813055200000001233e-06,3.899820295539202725e-04,3.899820172418082763e-04,6.722714416600078296e-04,6.975220467200007055e-04,2.718265467579412996e-04,9.951043420000002786e-04,3.309761105863949374e-04,7.060484044529440339e-01,6.901284323733037906e-01,1.543129130405052410e-02,7.139682859604785659e-01
6.000000000000000000e+02,4.181390000000020795e-06,4.523714005950141607e-04,4.523713999841804572e-04,7.981645463804898670e-04,6.646431359400012525e-04,2.601319549704391863e-04,9.936188927799972145e-04,3.302373420967198107e-04,6.720304415433828726e-01,6.597732573350069130e-01,1.650227939295216897e-02,6.827088138674787254e-01
7.000000000000000000e+02,6.629762000000010844e-06,5.300916328664131419e-04,5.300916556164920893e-04,1.023820371832555786e-03,6.301424907800007172e-04,2.478157504404622383e-04,9.942493409199970947e-04,3.301806010323513432e-04,6.346773205881666158e-01,6.255173049545457165e-01,1.752673584232087786e-02,6.468117064778153846e-01
8.000000000000000000e+02,2.180873599999996297e-06,6.027638378811112562e-04,6.027638185267673908e-04,1.200095827084895995e-03,6.025916450600010514e-04,2.374496197431252094e-04,9.991788277999974748e-04,3.317452337391988294e-04,6.003863055942314508e-01,5.951127369188490279e-01,1.942353530614764068e-02,6.154567617520190215e-01
9.000000000000000000e+02,1.525095999999943739e-07,6.711022614046388470e-04,6.711022345838075923e-04,1.396244566654030817e-03,5.742655746800002202e-04,2.274226003943320348e-04,9.982690238400000488e-04,3.325707558714195147e-04,5.766725394116591907e-01,5.677680788015421198e-01,1.989821046691725784e-02,5.868187598186773712e-01
1.000000000000000000e+03,-6.841303999999959707e-07,7.541272769736889368e-04,7.541272472766322741e-04,1.627113540197122404e-03,5.473466816399996399e-04,2.171734883311687175e-04,1.004374327740000222e-03,3.341186982936052868e-04,5.450425361875773644e-01,5.386002424112814602e-01,2.104924461592954515e-02,5.567600123557372438e-01
1.100000000000000000e+03,3.853498399999999738e-06,8.146378337227368985e-04,8.146378159866735210e-04,1.791968753530881042e-03,5.177261935600000961e-04,2.052591472633707222e-04,9.973193864800018477e-04,3.316963659192648088e-04,5.193812563640112234e-01,5.137180129295069175e-01,2.204206094029248844e-02,5.301171973463248976e-01
1.200000000000000000e+03,5.591339600000005734e-06,8.912002538871436003e-04,8.912002495022120548e-04,2.010943160446128451e-03,4.949171605199993024e-04,1.966353784128171576e-04,1.000618569899999364e-03,3.326040666787232684e-04,4.936922428461313905e-01,4.881025086749369857e-01,2.173517951112282146e-02,5.041284088843200895e-01
1.300000000000000000e+03,-5.173993199999996438e-06,9.553288210219608922e-04,9.553288095790137165e-04,2.208858911942442743e-03,4.697810433199996671e-04,1.871708832714948296e-04,9.999437878800013571e-04,3.324145352573974386e-04,4.729665377519082781e-01,4.643914160117808554e-01,2.257549956324404750e-02,4.795641977752065355e-01
1.400000000000000000e+03,3.005249600000004631e-06,1.054827762913665553e-03,1.054827729752080097e-03,2.544567515509462124e-03,4.496963700000001737e-04,1.791551139868200252e-04,1.004289704260000367e-03,3.347912207474532760e-04,4.502740102871349293e-01,4.438811341845319558e-01,2.215016193754866525e-02,4.572225599586847711e-01
